Date,Tweets,Trending,Retweets,Favs,Comments
2017-01-11,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",,29000.0,100000.0,58000.0
2017-01-11,"I win an election easily a great ""movement"" is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",,26000.0,106000.0,28000.0
2017-01-11,Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING!,,24000.0,82000.0,36000.0
2017-01-11,"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE."" Very unfair!",,16000.0,61000.0,21000.0
2017-01-11,"""BuzzFeed Runs Unverifiable Trump-Russia Claims """,,14000.0,41000.0,22000.0
2017-01-11,FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,,26000.0,86000.0,48000.0
2017-01-12,"Congrats to the Senate for taking the first step to  ""- now its onto the House!""",,18000.0,80000.0,21000.0
2017-01-12,.  is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,CNN,32000.0,118000.0,35000.0
2017-01-12,Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. ,LBPerfectMaine,20000.0,86000.0,19000.0
2017-01-12,James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad!,,16000.0,66000.0,18000.0
2017-01-12,"""   "" Its Morning in America again!!!  "" Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!","zhu_amy3, realDonaldTrump",8600.0,48000.0,7300.0
2017-01-12,"""We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get whats going on""",,25000.0,108000.0,31000.0
2017-01-13,A beautiful funeral today for a real NYC hero Detective Steven McDonald. Our law enforcement community has my complete and total support.,,19000.0,102000.0,8400.0
2017-01-13,"The ""Unaffordable"" Care Act will soon be history!",,27000.0,120000.0,37000.0
2017-01-13,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,,12000.0,62000.0,18000.0
